experiment_name,version,attack,0,0,mean_score,mean_score
,,,mean,std,mean,std
Experiment A,Pen Mentioned Removed,word_swap_embedding,3.2222222222222228,0.19245008972987535,3.2222222222222228,0.19245008972987535
Experiment A,Pen Mentioned Removed,word_swap_homoglyph,2.888888888888889,0.0,2.888888888888889,0.0
Experiment A,Pen Not Mentioned,antonym_replacement,3.407407407407407,0.2566001196398336,3.407407407407407,0.2566001196398336
Experiment A,Pen Not Mentioned,caesar_cipher,2.9629629629629632,0.2566001196398338,2.9629629629629632,0.2566001196398338
Experiment A,Pen Not Mentioned,change_character_names,3.2592592592592595,0.3207501495497921,3.2592592592592595,0.3207501495497921
Experiment A,Pen Not Mentioned,context_removal,3.1481481481481484,0.4206598774666872,3.1481481481481484,0.4206598774666872
Experiment A,Pen Not Mentioned,control,3.1666666666666665,0.2309401076758502,3.1666666666666665,0.2309401076758502
Experiment A,Pen Not Mentioned,distraction_insertion,2.8518518518518516,0.2566001196398337,2.8518518518518516,0.2566001196398337
Experiment A,Pen Not Mentioned,introduce_typos,2.888888888888889,0.4006168083848878,2.888888888888889,0.4006168083848878
Experiment A,Pen Not Mentioned,shuffle_sentences,4.0740740740740735,0.06415002990995826,4.0740740740740735,0.06415002990995826
Experiment A,Pen Not Mentioned,swap_words,3.925925925925926,0.12830005981991688,3.925925925925926,0.12830005981991688
Experiment A,Pen Not Mentioned,synonym_replacement,3.7037037037037037,0.12830005981991688,3.7037037037037037,0.12830005981991688
Experiment A,Pen Not Mentioned,word_swap_embedding,4.148148148148148,0.320750149549792,4.148148148148148,0.320750149549792
Experiment A,Pen Not Mentioned,word_swap_homoglyph,3.2962962962962963,0.0641500299099586,3.2962962962962963,0.0641500299099586
Experiment B,Unused Comb,antonym_replacement,2.4444444444444446,0.0,2.4444444444444446,0.0
Experiment B,Unused Comb,caesar_cipher,2.888888888888889,0.0,2.888888888888889,0.0
Experiment B,Unused Comb,change_character_names,2.7777777777777772,0.0,2.7777777777777772,0.0
Experiment B,Unused Comb,context_removal,2.6666666666666665,0.11111111111111127,2.6666666666666665,0.11111111111111127
Experiment B,Unused Comb,control,2.3,0.0,2.3,0.0
Experiment B,Unused Comb,distraction_insertion,2.4814814814814814,0.25660011963983337,2.4814814814814814,0.25660011963983337
Experiment B,Unused Comb,introduce_typos,2.888888888888889,0.0,2.888888888888889,0.0
Experiment B,Unused Comb,shuffle_sentences,4.333333333333333,0.0,4.333333333333333,0.0
Experiment B,Unused Comb,swap_words,3.0370370370370368,0.2566001196398338,3.0370370370370368,0.2566001196398338
Experiment B,Unused Comb,synonym_replacement,2.7037037037037037,0.2566001196398338,2.7037037037037037,0.2566001196398338
Experiment B,Unused Comb,word_swap_embedding,2.6666666666666665,0.19245008972987535,2.6666666666666665,0.19245008972987535
Experiment B,Unused Comb,word_swap_homoglyph,2.555555555555556,0.1924500897298751,2.555555555555556,0.1924500897298751
Experiment B,Used Comb,antonym_replacement,2.6666666666666665,0.0,2.6666666666666665,0.0
Experiment B,Used Comb,caesar_cipher,2.888888888888889,0.0,2.888888888888889,0.0
Experiment B,Used Comb,change_character_names,2.8518518518518516,0.3207501495497923,2.8518518518518516,0.3207501495497923
Experiment B,Used Comb,context_removal,2.4444444444444446,0.222222222222222,2.4444444444444446,0.222222222222222
Experiment B,Used Comb,control,2.566666666666667,0.11547005383792529,2.566666666666667,0.11547005383792529
Experiment B,Used Comb,distraction_insertion,2.4444444444444446,0.1924500897298751,2.4444444444444446,0.1924500897298751
Experiment B,Used Comb,introduce_typos,2.7407407407407405,0.06415002990995845,2.7407407407407405,0.06415002990995845
Experiment B,Used Comb,shuffle_sentences,3.185185185185185,0.320750149549792,3.185185185185185,0.320750149549792
